Protein,LogFoldChange,Zstatistic,Name,Function
lcl|c226723_g5_i2|m.11731,-0.766,-5.7884,NA,NA
lcl|c226739_g4_i2|m.11743,-2.352,-8.7107,NA,NA
lcl|c226774_g3_i2|m.11777,-0.675,-3.595,NA,NA
lcl|c226971_g4_i11|m.11980,-0.78,-2.5173,NA,NA
lcl|c226971_g4_i9|m.11985,-0.891,-3.0216,NA,NA
lcl|c226978_g9_i3|m.11996,1.115,3.82,NA,NA
lcl|c227129_g2_i15|m.12185,0.72,2.9709,NA,NA
lcl|c227136_g2_i8|m.12192,-0.855,-4.1955,NA,NA
lcl|c227188_g1_i1|m.12222,-1.242,-5.7013,NA,NA
lcl|c227206_g2_i7|m.12247,-2.003,-12.3956,NA,NA
lcl|c227267_g3_i2|m.12289,-0.979,-2.9076,NA,NA
lcl|c227293_g2_i4|m.12320,-0.578,-3.0519,NA,NA
lcl|c227297_g1_i3|m.12321,-1.406,-4.5471,NA,NA
lcl|c227414_g2_i1|m.12410,-2.073,-7.6088,NA,NA
lcl|c227467_g2_i2|m.12463,-3.03,-8.8537,NA,NA
lcl|c227562_g6_i1|m.12582,0.737,6.6853,NA,NA
lcl|c227565_g2_i7|m.12589,-1.627,-4.334,NA,NA
lcl|c227571_g1_i1|m.12592,-1.087,-2.9369,NA,NA
lcl|c227683_g10_i1|m.12674,-2.874,-9.5833,NA,NA
lcl|c227721_g2_i2|m.12707,-0.997,-6.9122,NA,NA
lcl|c227738_g1_i4|m.12717,-1.601,-4.3103,NA,NA
lcl|c227758_g2_i4|m.12736,-1.098,-6.6981,NA,NA
lcl|c227762_g5_i1|m.12740,-1.379,-3.503,NA,NA
lcl|c227794_g1_i1|m.12770,-1.422,-6.4098,NA,NA
lcl|c227804_g2_i3|m.12774,-0.676,-2.0341,NA,NA
lcl|c227847_g4_i2|m.12829,-1.479,-4.1825,NA,NA
lcl|c227856_g7_i5|m.12838,-0.708,-2.4966,NA,NA
lcl|c227910_g4_i10|m.12878,-0.531,-3.5508,NA,NA
lcl|c227928_g3_i2|m.12899,-1.552,-4.7267,NA,NA
lcl|c227928_g3_i7|m.12901,-0.693,-2.5349,NA,NA
lcl|c227969_g2_i1|m.12933,-1.75,-5.8757,NA,NA
lcl|c227993_g1_i6|m.12952,0.522,3.0722,NA,NA
lcl|c228113_g1_i1|m.13052,-0.939,-5.3129,NA,NA
lcl|c228221_g2_i9|m.13137,1.042,6.4261,NA,NA
lcl|c228247_g2_i1|m.13162,-2.617,-8.0614,NA,NA
lcl|c228309_g1_i6|m.13221,-0.974,-3.892,NA,NA
lcl|c228317_g4_i1|m.13231,-0.762,-4.7721,NA,NA
lcl|c228325_g7_i1|m.13245,-1.295,-3.3969,NA,NA
lcl|c228390_g1_i2|m.13299,-1.226,-6.072,NA,NA
lcl|c228506_g1_i2|m.13379,-2.219,-14.2329,NA,NA
lcl|c228524_g1_i1|m.13396,-1.419,-3.6871,NA,NA
lcl|c228543_g5_i2|m.13413,-1.047,-3.7272,NA,NA
lcl|c228583_g6_i1|m.13441,1.295,7.316,NA,NA
lcl|c228621_g3_i1|m.13469,-1.422,-3.7904,NA,NA
